ispb,codigo_compe,nome,nome_completo
30680829,386,"NU FINANCEIRA S.A. CFI","NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento"
30723871,675,"CASAS BAHIA PAY IP LTDA.","CASAS BAHIA PAY INSTITUIÇÃO DE PAGAMENTO LTDA."
30944783,557,"PAGPRIME IP","PAGPRIME INSTITUICAO DE PAGAMENTO LTDA"
30980539,546,"OKTO IP","OKTO INSTITUIÇÃO DE PAGAMENTO S.A."
31597552,241,"BCO CLASSICO S.A.","BANCO CLASSICO S.A."
31680151,783,"SWAP IP S.A.","SWAP INSTITUIÇÃO DE PAGAMENTO S.A."
31749596,398,"IDEAL CTVM S.A.","IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
31872495,336,"BCO C6 S.A.","Banco C6 S.A."
31880826,612,"BCO GUANABARA S.A.","Banco Guanabara S.A."
31895683,604,"BCO INDUSTRIAL DO BRASIL S.A.","Banco Industrial do Brasil S.A."
32062580,505,"BCO UBS BRASIL","BANCO UBS (BRASIL) S.A."
32074986,550,"BEETELLER IP LTDA.","BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA."
32192325,552,"UZZIPAY IP S.A.","UZZIPAY INSTITUIÇÃO DE PAGAMENTO S.A."
32402502,329,"QI SCD S.A.","QI Sociedade de Crédito Direto S.A."
32648370,196,"FAIR SOCIEDADE CC","FAIR SOCIEDADE CORRETORA DE CÂMBIO S.A."
32708748,662,"WE PAY OUT IP LTDA.","WE PAY OUT INSTITUICAO DE PAGAMENTO LTDA."
32820711,693,"EFEX IP","EFEX INSTITUIÇÃO DE PAGAMENTO S.A."
32997490,342,"CREDITAS SCD","Creditas Sociedade de Crédito Direto S.A."
33040601,567,"MERCANTIL FINANCEIRA","MERCANTIL FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO."
33042151,300,"BCO LA NACION ARGENTINA","Banco de la Nacion Argentina"
33042953,477,"CITIBANK N.A.","Citibank N.A."
33132044,266,"BCO CEDULA S.A.","BANCO CEDULA S.A."
33147315,122,"BCO BRADESCO BERJ S.A.","Banco Bradesco BERJ S.A."
33172537,376,"BCO J.P. MORGAN S.A.","BANCO J.P. MORGAN S.A."
33264668,348,"BCO XP S.A.","Banco XP S.A."
33466988,473,"BCO CAIXA GERAL BRASIL S.A.","Banco Caixa Geral - Brasil S.A."
33479023,745,"BCO CITIBANK S.A.","Banco Citibank S.A."
